Contractor,Company,RoofSize,RoofType,City,State,Date,lat,lng
Nancy Mosley,Miller PLC,43970,Asphalt,Markmouth,ND,2024-06-02,40.128049,-121.024407
Elizabeth Hammond,Wright Group,12643,TPO,Lindafurt,IA,2023-06-26,36.165319,-68.028366
Stephanie Romero,Taylor-Rangel,40103,Foam,Christinemouth,ID,2023-04-21,45.286476,-113.300356
Hayden Rush,"Baker, Snyder and Mccann",49954,Foam,Duranborough,NM,2023-09-30,29.490803,-121.570178
Michael Ware,Mack-Hall,4257,Asphalt,Thompsonborough,CA,2023-11-01,46.343093,-122.532628
Amber Wilson,Barnes-Wells,22261,Metal,New Lindabury,PA,2023-07-05,30.375097,-101.345306
Matthew Ross,Wright-Gentry,12433,TPO,Ashleyville,ME,2024-11-25,39.238809,-121.907528
Stephanie Cooley,"Powell, Martinez and Hays",33991,TPO,Rebeccaville,HI,2024-08-05,29.305282,-98.710461
Joshua Ayers,Underwood and Sons,30769,TPO,Tammymouth,WI,2023-05-13,25.930828,-71.908829
Kyle Hamilton,"Walsh, Norris and Harris",33038,Metal,Gutierrezland,AS,2024-12-03,44.643137,-103.868767
Linda Webb,Hunt-Wheeler,31660,Foam,Millsborough,SC,2024-08-29,31.650521,-80.470483
Jennifer Brown,Norman Ltd,36222,Asphalt,Annhaven,WA,2025-02-08,41.702576,-113.266879
Peter Hernandez,Pittman-Hanson,30548,TPO,Amandamouth,ME,2024-08-29,42.758799,-98.313944
Debbie Brooks,"Jones, Rogers and Rice",6471,Foam,Stephanieborough,AL,2024-02-05,44.464567,-110.723437
Bruce Davis,Patel Inc,4482,TPO,Port Tristan,VI,2023-11-30,33.794497,-122.069304
David Chambers,"Humphrey, Mcbride and Clements",35762,Asphalt,Jenniferport,IA,2024-06-20,37.978651,-99.511467
Luis Garza,"Mcknight, Rodgers and Meyer",40715,Asphalt,Franklinview,RI,2023-08-04,41.627049,-74.220925
Lawrence Gordon,"Smith, Smith and Haley",45704,Asphalt,West Kathrynbury,NY,2023-05-21,25.422738,-80.533199
Mary Wade,Kim-Banks,12191,Foam,Amyfort,DC,2023-09-25,39.267686,-123.261243
Max Silva,Lee-Ramsey,8799,Asphalt,Lake Christineland,RI,2024-05-30,46.918,-99.812076
Keith Alvarado,Davidson-Lopez,44632,TPO,Ianville,TX,2025-03-06,29.210231,-122.958244
Stephanie Smith,Wilson Ltd,19672,Metal,Lake Markbury,MA,2024-06-14,48.087397,-69.685127
Ricardo Barber,Wallace Group,42716,Asphalt,Harrisonshire,LA,2024-03-21,48.769715,-118.997477
Andrew Smith,"Rivas, Reyes and Wilcox",40279,Metal,South Alvinview,ID,2024-08-05,42.769446,-76.321044
Brian Patrick,Hernandez and Sons,32046,Asphalt,Meyerfurt,CA,2025-04-07,31.305478,-96.876227
Jose Castro,West LLC,11335,Foam,Harmonfurt,LA,2024-05-06,40.037817,-99.908072
Kathy Washington,Castro-Sanchez,6592,Asphalt,Port Tina,GU,2025-01-31,42.937033,-121.587096
Lauren Cline,"Harper, Macdonald and Mcmahon",46565,Metal,Underwoodstad,ME,2024-03-21,26.329035,-71.66387
Timothy Elliott,Baker Inc,29860,Metal,Ewingtown,DC,2023-09-19,35.358715,-98.154432
Mr. Robert Butler,"Simmons, Garcia and Boyle",15486,Foam,East Caitlin,WV,2024-12-28,40.167299,-78.339461
Nicole Rojas,Price Inc,40861,Foam,North Travisshire,OH,2024-02-14,34.791409,-98.729304
Victor Pittman,Macias-Carlson,14343,Asphalt,Austinbury,CO,2025-02-01,37.276986,-72.972113
Emma Holmes,Lawrence-Ward,41863,Metal,North Cliffordland,FM,2024-10-03,42.018193,-97.728497
Gina Jackson,Hoover LLC,47075,Asphalt,Lake Wayne,CA,2023-12-13,41.028649,-75.46728
Tamara Vincent,Schultz-Anderson,29993,Foam,Ralphfurt,NH,2023-11-10,35.206141,-69.530874
Ronald Brock,"Carr, Francis and Estrada",26918,Metal,Andrewstad,WA,2023-04-17,27.586839,-101.585378
Melinda Guerrero,Clark-Rodriguez,28984,Foam,New Charlesport,VI,2023-10-05,43.983095,-73.722564
Ann Torres,Porter Inc,16527,Metal,Port Johnfort,PW,2023-04-23,29.4283,-68.125612
Derek Adams,Martinez-Morgan,10706,Foam,Greenborough,CA,2025-03-23,39.91678,-117.387689
Timothy Dickerson,Raymond PLC,22906,Metal,Lake Howard,MH,2023-05-30,47.982144,-87.874288
Erica Collier,"Jones, Lee and Newman",8640,Foam,Ronaldton,MD,2024-08-29,28.3758,-103.804521
Sarah Deleon,Sullivan-Lawrence,30486,Asphalt,North Meagan,TX,2024-10-19,40.571476,-88.098486
David Burns,Brown Group,23205,Asphalt,Tylerport,AR,2024-04-12,38.826345,-82.789447
Kelsey Kelly,Dominguez-Woodard,10487,Foam,Emilyside,MS,2024-05-24,27.344733,-109.598274
Chelsea Murphy,"Johnson, Dean and Wall",48168,Metal,Tracyton,PR,2024-05-07,42.643909,-122.086191
Susan Green,Harmon Ltd,48363,Foam,South Adam,NV,2024-08-22,48.761381,-116.539748
Andrew Anderson,Arnold Ltd,34671,Foam,Rayville,SC,2024-08-30,46.31823,-73.927144
Jesse Rose DVM,Walsh Group,24118,TPO,Leblancmouth,CT,2024-07-04,29.452117,-73.852695
Craig Riley,"Gonzales, Cunningham and Harvey",2594,Asphalt,East Julian,NJ,2024-04-15,27.94719,-77.222829
Karen Wells,Small and Sons,33802,TPO,Colefort,NV,2024-12-19,32.166331,-72.34492
Mrs. Heidi Ramos,Saunders Group,11782,Foam,East Dennisstad,NM,2023-12-20,42.108358,-102.986883
Thomas Rogers,Lee Group,36753,TPO,North Elizabeth,AR,2025-01-15,34.842555,-100.727404
Cory Bennett,Martinez LLC,11843,Metal,Ramirezview,NC,2024-06-11,27.933283,-84.62674
Jeanne Johnson,Smith Group,40562,TPO,East Sarah,AR,2024-07-29,48.506105,-94.592172
Wanda Bush,Cabrera Ltd,8069,Foam,West Valerieside,OH,2024-04-10,42.955811,-67.924996
Mark Hernandez,"Stanton, Gonzales and Miller",39556,Foam,South Michaelbury,IL,2024-03-21,41.530889,-121.978361
Pamela Drake,Simpson and Sons,16644,Foam,Alifurt,IA,2025-03-01,27.264335,-97.782117
Kathryn Gallagher,Graham-Palmer,49251,TPO,East Peterland,LA,2024-03-11,38.859896,-91.738913
Mrs. Victoria Murphy MD,Cooper-Edwards,28281,TPO,East Heather,WV,2023-07-25,34.261509,-114.285584
Eric Weber,Whitney LLC,40329,TPO,Gomezhaven,KY,2023-12-23,41.45122,-99.246797
Taylor Garcia,"Obrien, Ali and Brown",28110,Asphalt,South Jonathan,CT,2024-11-19,32.299936,-71.094495
Kevin Anderson,Vasquez and Sons,1303,Foam,West Douglasberg,UT,2024-05-01,45.787415,-75.793626
Wendy Davis,"Davis, Martin and Ingram",16561,Asphalt,Lake Madison,RI,2025-03-10,42.867456,-99.949159
Stephanie Brown,"Reyes, Lewis and Carpenter",44785,TPO,Wongton,OK,2025-04-11,27.446637,-122.78948
John Barnett,Mays-Wilson,8625,Asphalt,Smithbury,CA,2024-01-31,34.854679,-115.50696
Jamie Serrano,Horton-Robbins,40520,Asphalt,South Karenberg,NY,2023-07-18,44.386603,-104.179554
Brandon Zamora,Reyes and Sons,35709,TPO,Mariashire,VT,2024-09-12,44.501883,-98.718152
Amy Owens,Reynolds Group,42288,Metal,Madisonborough,ID,2025-01-09,32.531913,-111.871862
Megan Lewis,"Ho, Li and Galloway",7124,Metal,Karenton,GU,2024-12-19,43.244011,-79.063938
Alexis Chase,"Long, Mills and Snyder",16132,Asphalt,West Juan,CT,2025-03-21,46.297715,-98.89879
Jessica Burton,Reynolds-Hamilton,21914,TPO,East Charles,DE,2024-08-20,42.455594,-77.817746
Jennifer Richardson,"Wilson, Dudley and Russell",22522,Foam,Lake Richardmouth,MP,2023-11-18,27.53329,-114.576965
Kristen Castillo,Taylor PLC,33960,Metal,Morganbury,AL,2024-03-09,32.202444,-110.508768
David Wilson,"Gutierrez, Soto and Miller",5423,Metal,Fisherfurt,ID,2025-01-06,46.289557,-93.85313
Keith Larson,"Roberts, Jacobs and Franco",30800,Metal,West Adamside,OR,2024-08-14,45.891157,-77.547661
Debbie Fisher,"Mcdonald, Schultz and Crawford",17506,Asphalt,Robertview,NJ,2024-10-20,33.434644,-85.87887
Laura Walsh,Allen-Chavez,46198,TPO,Blackville,WA,2025-01-27,48.422177,-106.228265
Jenny Jones,"Graham, Brown and Lewis",9159,Metal,East Philip,AL,2024-12-08,29.53769,-83.047026
Jesse Scott,Johnson Group,3141,Metal,Port Mary,FL,2023-07-24,40.67418,-120.380039
Travis Mclean,Singh-Wyatt,23990,Asphalt,Oliviaview,MA,2024-04-02,28.352595,-123.25465
Brian Gould,"Mcconnell, Sellers and Valdez",31682,Metal,Murphytown,ME,2024-01-08,25.664121,-91.394469
Philip Chase,Reeves PLC,3925,Foam,Heatherfurt,IN,2025-01-19,34.37524,-101.47094
Thomas Winters,"Moore, Davis and Smith",28149,Asphalt,Kathleenstad,SD,2024-11-05,31.601402,-95.879873
Christopher Barnes,"May, Norris and Peck",28008,TPO,Port Cody,OK,2023-08-09,33.872184,-105.04715
Michael Clark,Huynh-Kaufman,10690,Asphalt,Johnview,AZ,2025-01-23,44.805398,-121.180638
Jessica Young,"Johnson, Williamson and Greene",3656,Asphalt,Port Jessica,MN,2023-08-12,43.268237,-111.742973
Amanda Dunn,Sandoval-Diaz,27864,Metal,South Kevinview,GU,2023-06-09,40.472158,-87.711114
Bruce Knight,Campbell PLC,2112,Metal,North Stacymouth,AR,2024-12-28,42.770147,-94.928783
David Johnson,Berger-Page,36239,Asphalt,Gainesborough,NY,2024-12-10,36.378159,-78.953512
Brian Christian,Pruitt-Ellis,35685,Metal,Matthewshire,TN,2024-04-05,31.55923,-114.466104
Carl Smith,Franco LLC,3374,Foam,Jeffreyfurt,MP,2024-03-10,26.04823,-75.938355
Shawn Gibbs,Velez-Morrow,33937,Foam,Kristinton,CA,2024-04-09,34.431584,-68.071256
Kevin Alexander,Morris Inc,48203,Metal,Lake Gabrielleside,VI,2024-03-07,31.52445,-106.946129
Kathy Smith,Tucker-Ruiz,15880,Metal,Loweside,GA,2024-01-20,42.020735,-88.899125
Stephen Chase,"George, Williams and Rodriguez",25685,Asphalt,East Joshuafort,PR,2024-10-21,34.249707,-87.031225
Tyler Ramirez,"Heath, Sweeney and Clay",41809,Asphalt,East Linda,KS,2025-02-19,38.1065,-93.190765
William Orozco,Wilson Ltd,43213,Metal,Lake Deborah,KY,2024-06-05,42.023212,-109.26044
Tammy Brown,Austin-Sellers,48083,Asphalt,Crystalbury,IA,2024-05-06,45.334552,-122.909085
Jennifer Sanchez,Taylor PLC,16816,Foam,Rogersfurt,AR,2024-10-17,48.772873,-106.990704
Garrett Bautista PhD,"Figueroa, Crawford and Morales",46350,Foam,Lake Kimberlyside,NH,2024-10-26,48.11138,-100.660569
Bryan Salas,"Green, Craig and Weber",24689,Metal,South Josephville,VA,2024-12-30,42.752694,-97.44495
Holly Smith,Taylor Group,47661,Foam,South Noah,TX,2024-11-07,42.74194,-75.397599
Samantha Scott,Johnson-Walker,1519,TPO,Donaldville,ID,2024-04-10,36.551562,-80.047952
Tiffany Moore,Gardner-Collins,13689,Asphalt,Coxshire,MI,2023-07-30,45.550673,-79.19966
Paul Davis,Hayden Group,19825,Metal,Lake Derek,NH,2024-12-06,34.156489,-105.573779
William Lowe,Skinner Ltd,32757,Metal,Tuckerchester,AL,2023-09-30,25.615894,-90.549678
Natalie Smith,Castro Inc,38744,TPO,Davisport,MT,2024-03-18,32.652754,-77.267074
Mary Fox,Gonzalez-Perez,1709,Metal,Jamesburgh,TX,2025-04-06,39.290726,-104.034023
Scott Miller,Cantrell Group,9017,Foam,Ashleyburgh,UT,2023-05-22,46.736433,-75.386577
Robert Harrison,Alvarado-Johnson,18282,Foam,West George,DE,2024-04-16,30.442859,-75.494581
Christina Gomez,Schmidt LLC,16755,Foam,Jessicaton,MP,2023-08-09,40.176153,-98.45052
Rebecca Steele,"Walker, Mcintyre and Garcia",19920,Metal,North Stevenfort,PA,2024-08-22,44.32241,-121.222793
Michelle Morales,Fuller-Hall,46827,TPO,Lake Anthony,IL,2025-01-16,36.517863,-100.301156
Gina Francis,"Rodriguez, Sanders and Mendoza",16914,TPO,Charlesberg,SC,2023-04-17,44.976385,-111.760406
Michaela Perez,Mccormick Inc,7032,Foam,Fitzgeraldland,OH,2023-05-04,26.513578,-67.188061
Kevin Wells,"Stout, Barber and Mullen",47481,Metal,Wilsonport,WA,2024-07-15,41.435003,-71.689104
Mark Cook,Ross-Cherry,18734,TPO,New Jamesbury,MT,2024-05-15,34.998029,-91.702595
Jesse Roberts,Guerra-Wright,42968,Foam,New Bryceville,NC,2024-12-09,25.747479,-98.856857
Miranda Adams,Gray-Richardson,49727,Asphalt,Lake Justin,PW,2023-06-11,45.093187,-75.629622
Joseph West,"Brooks, Schultz and Glenn",36253,Foam,Michaelstad,MO,2023-05-02,31.026512,-93.449369
Mark Andrade,"Vincent, Ramsey and Brock",6321,Metal,New Lauraborough,NY,2023-10-02,31.480509,-106.711092
Joseph Carter,Curry Group,36855,TPO,Jeremiahtown,CO,2025-03-20,35.685911,-97.383895
Robin Mcmillan,Dalton Group,7128,TPO,Schwartzbury,MH,2023-09-04,35.675274,-102.967225
Steven Hunt,"Bennett, Miller and Montgomery",34419,Foam,Jacobview,UT,2025-02-25,26.447464,-116.490467
Lacey Edwards,"Haynes, Beasley and Garcia",20317,Foam,Kaylaborough,TX,2023-11-02,34.450535,-109.341567
Christine Bryant,Sanders Inc,47543,TPO,Laurastad,ID,2023-09-25,27.262348,-76.270346
Tyler Perez,Baker-Morrow,42743,Asphalt,Rogersfurt,MA,2024-12-21,46.965235,-86.957804
Tracy Butler,"Greene, Meyer and Reynolds",38137,Foam,Cindyshire,IL,2023-07-19,46.365584,-83.706781
Samuel Carrillo,Mathis Group,35804,Metal,West Francestown,PW,2024-12-01,35.363457,-105.800984
Amy Reed,Williams Group,35845,Metal,North Leonard,NM,2024-04-08,44.559897,-72.733316
Robert Jimenez,May Group,29489,Metal,New Kelseychester,NH,2023-11-09,30.938312,-120.202636
Lauren Gilbert,Cobb LLC,6788,Asphalt,East Jeffrey,NE,2023-12-11,47.032058,-117.504582
Mary Stafford,Andrews-Lawrence,17355,Foam,Bartonside,MO,2024-01-27,27.520821,-118.880541
Donald Johnson,"Moran, Herrera and Smith",13997,Asphalt,Woodland,IA,2023-06-03,41.917929,-87.268461
Shannon Rodriguez,Decker-Garcia,9338,TPO,East Terri,MH,2024-02-04,43.692534,-101.287417
Larry Baker,Lewis-Green,21716,Asphalt,Beckerstad,NH,2023-07-04,25.373505,-106.516409
Robin Moreno,Morales Group,49859,Foam,Andreaview,VA,2024-02-04,33.190349,-103.79027
Dr. Joy Diaz,Nelson and Sons,6534,Foam,Lake Cody,LA,2024-10-31,31.006668,-79.538243
Joanna Phillips,Hernandez-Castaneda,11330,TPO,Port Kimview,MT,2024-09-24,41.138285,-72.026552
Derrick Frank,"King, Martinez and Pearson",26406,TPO,Rodriguezton,MD,2024-01-03,26.198641,-79.285655
Judy Williams,Ashley-Pacheco,33342,TPO,East Jonathan,TX,2024-12-01,37.67776,-82.396406
Heather Stanley,"Gonzalez, Barrett and White",31187,Asphalt,Richardbury,ME,2024-09-01,35.139395,-96.663016
Michael Smith,Wood Inc,31691,Asphalt,Jodyside,ID,2024-07-24,34.603135,-116.101834
Laura Reed,"Santos, Wu and White",49425,Asphalt,Andreaberg,SD,2024-07-17,31.691142,-92.522173
Robert Gaines DVM,Lee Ltd,46320,Metal,West Danielmouth,AR,2023-05-23,28.685941,-94.005083
Joanne Alvarez,Gaines-Williams,6362,Asphalt,Chenmouth,PW,2024-10-14,41.31104,-89.872957
Richard Howard,"Douglas, Harris and Camacho",8376,Foam,New Malik,AR,2024-05-21,25.243626,-68.632271
Jessica Greer,Franklin Inc,44262,Metal,West Jason,VI,2024-08-06,29.569755,-74.85851
Ricky Goodman,"White, Ward and Mitchell",17275,Foam,Lake Richardborough,PR,2023-12-05,39.499652,-71.51693
William Fields,Snyder and Sons,8266,Metal,North Suzannemouth,AR,2024-03-12,31.217883,-105.933659
Christina Barker,Smith Inc,44451,TPO,Robertsonhaven,OH,2025-01-02,33.895404,-102.603331
Jessica Middleton,Gonzalez PLC,36246,Asphalt,Suarezport,AK,2023-11-12,45.263889,-103.710264
Veronica Brown,Smith-Johnson,38714,Asphalt,Ortizmouth,NY,2024-01-21,40.37106,-111.406724
Mary White DVM,Villarreal LLC,44022,Asphalt,North Zachary,MH,2025-02-15,38.636029,-84.172887
Ian Clark PhD,"Harris, Bennett and Gilbert",40997,TPO,Grantmouth,MP,2023-10-06,31.716177,-95.966079
Anthony Christian,Neal Group,33512,Metal,Richardsside,RI,2024-01-17,38.57345,-85.903665
Nancy Novak,"Sullivan, Friedman and Nolan",35657,Metal,South Brendaside,NC,2023-11-29,45.122518,-83.121719
Debra Dickerson,Carroll-Barry,12424,Metal,East Stephaniechester,IN,2024-03-05,33.685873,-83.972615
David Schroeder,"Davila, Green and Marquez",46530,Foam,Francisstad,MA,2023-10-18,35.839277,-117.231647
Peter Johnson,Carey-Webster,19587,Metal,South Nicholas,PW,2024-02-01,30.319773,-98.506385
Travis Tran,Martinez Ltd,36861,Foam,North Tina,DE,2023-07-25,42.827783,-97.384428
Steve King,Howell LLC,28608,Foam,Leebury,NV,2024-10-01,46.778952,-77.034639
Julie Cohen,Patel-Beck,33021,Asphalt,Brooksside,TN,2024-11-13,39.906578,-119.659528
Brian Koch,Simpson-Pruitt,29209,Metal,Laurafurt,WA,2025-03-02,29.290571,-68.703741
Phillip Davis,"Lara, Mitchell and Ibarra",36364,Foam,Grimesstad,NY,2025-01-04,48.812255,-99.436205
Carol Moss,"Woods, Perkins and Blair",34916,Asphalt,East Jillbury,NJ,2023-06-21,42.459406,-71.119814
Nicholas Booker,"Davis, Brown and Ortiz",25507,Metal,Franceston,WY,2023-04-20,46.507408,-81.441476
Tiffany Williams,Simpson-Maldonado,44330,Metal,West David,MN,2024-09-08,46.055801,-67.534617
Christopher Harrison,Rowland-Nelson,25245,Metal,Angelberg,UT,2023-05-07,27.457955,-104.605885
Michelle Bass,Dunn-Bender,21903,TPO,New Eric,KS,2025-01-13,46.457782,-72.88411
David Vaughn,Schroeder Inc,17477,Asphalt,New Kathrynmouth,PR,2024-10-07,40.724548,-100.846484
Kristin Willis,Wolfe Group,36439,Asphalt,Lake Steven,WY,2024-11-30,33.952966,-114.184452
Heather Yang,Walker-Sellers,18307,Foam,East Haley,KS,2024-05-06,48.250477,-113.003827
Joel Maxwell,Webster and Sons,37065,TPO,Mendezside,TX,2023-05-01,47.002586,-109.484193
Maria Brandt,"Thompson, Durham and Medina",48277,Metal,Christophertown,ND,2024-08-16,25.648013,-101.860116
Melissa Wood,Weaver Inc,27546,Asphalt,North Nicholas,SC,2024-06-27,33.376194,-117.623271
Mary Middleton,Harris-Stewart,2604,Metal,Lake James,PW,2024-04-17,33.361915,-111.782504
Deanna Fitzgerald,"Rodriguez, Ramos and Elliott",48992,TPO,South Johnland,MA,2023-09-05,31.526206,-103.641329
Sandra Moore,Mccall Ltd,15018,Asphalt,Singletonmouth,PA,2024-09-04,43.818993,-79.043431
James Wilson,Lopez-Schaefer,9765,Metal,Aaronbury,FL,2024-11-27,26.970561,-75.434519
Kyle Smith,Crane-Reid,41347,Foam,North Tina,IL,2023-10-13,43.558066,-113.191156
Mike Campbell,Newman-Hayes,48838,Foam,Lake Casey,WA,2023-11-29,42.672005,-78.965353
Sara Lopez,"Thompson, Schmitt and Salinas",34559,TPO,West Danielhaven,MI,2023-12-29,40.185999,-118.46231
Andrew Vincent,Ruiz-Olson,43812,TPO,West Matthew,NY,2025-02-28,43.768506,-115.429976
Arthur Sanchez,King Ltd,4478,Asphalt,Jamiebury,OK,2024-08-30,30.059456,-100.24976
Elizabeth White,Leon-Stark,29756,Metal,East Vickiborough,LA,2024-08-14,28.021525,-119.34778
Christopher Joseph,Jimenez Ltd,34344,Metal,North Cindy,CO,2025-01-21,43.606786,-102.039247
Steven Kennedy,"Mendoza, Williams and Harris",25021,Asphalt,Samuelton,MA,2024-03-14,34.199717,-104.444094
Krystal Sanchez,Pratt-Williams,6112,Asphalt,New Johnbury,SD,2023-09-16,35.853204,-109.07299
Brandon Morton,Gibbs LLC,25033,Asphalt,Port Melissabury,NE,2023-09-20,39.25951,-117.48185
Cody Gray,"Atkins, Beck and Sanders",42302,TPO,Erikaland,PW,2023-09-12,33.919812,-113.484701
David Dorsey,"Mccall, Dickson and Harding",26208,Foam,North Kathymouth,CT,2025-01-17,27.836368,-85.566991
Jeremy Martin,Peters Inc,1517,Asphalt,East Josephland,ID,2024-12-23,47.215505,-81.634097
Brandon Sanchez,Garcia Ltd,7454,Metal,North Veronicaberg,NE,2023-08-01,28.179152,-69.580844
Gary Ruiz,Craig-Mcneil,38662,Asphalt,Rodriguezbury,DE,2024-10-22,30.060117,-77.583006
Amy Parker,Brooks-King,45676,Asphalt,East Alicia,OK,2024-12-31,37.538196,-89.549526
Anita Hatfield,Sanchez-Sanchez,27503,Metal,Ruizview,MS,2025-04-01,37.853161,-82.300314
Michelle Collins,Johnson Inc,36321,Foam,Isaacside,NC,2024-05-06,29.293878,-110.829826
Mary Harris,Willis and Sons,40960,Asphalt,Gonzalezport,AS,2024-05-31,45.123565,-91.797704
Eric Gutierrez,Taylor and Sons,2089,TPO,North Scott,CT,2024-01-28,36.48844,-107.019167
Alexandra Byrd,"Hammond, Bishop and Garcia",20798,Foam,Andrewville,CO,2024-07-13,26.501824,-120.25855
Jeffrey Gonzalez,Vaughn-Perkins,35970,TPO,Ericborough,CT,2024-05-08,40.547262,-89.749882
Sarah Fox,Boone Inc,9670,TPO,North Victoriafort,RI,2023-09-26,44.244875,-75.205041
James Sosa,Bishop LLC,29791,Metal,Brianburgh,VT,2023-10-21,45.699455,-96.856835
Stephen Spencer,Reyes-Morrison,26972,Foam,Lake Elizabethmouth,PA,2023-05-29,44.655391,-76.644312
Rebecca Mckinney,"Richardson, Preston and Glover",14703,Metal,Farleystad,VT,2024-07-24,42.810726,-113.439139
April Harris,Shelton Ltd,32149,Asphalt,Helenmouth,FM,2024-11-03,35.670622,-110.016903
Clifford Roberts,Ward-Smith,7830,Foam,Port Jennifer,NV,2025-02-14,44.028058,-106.51466
Kimberly Goodwin,Richardson PLC,34908,TPO,West Jamesville,WA,2023-07-29,28.118438,-96.479781
Olivia Sanders,Jones-Herring,29601,Asphalt,South Erin,AZ,2024-06-14,43.987507,-74.688011
Richard Avila,"Rojas, Steele and Powell",23590,Metal,Port Danielton,SD,2025-01-04,40.51944,-118.881216
Samuel Yoder,Barnes PLC,13462,Foam,North Lauraton,NJ,2024-08-08,28.470617,-107.429632
Ronald Mays,"Hart, Suarez and Murphy",24390,Asphalt,New Randall,NV,2024-12-08,47.155799,-90.265647
Heather Davis,"Smith, Gonzalez and Warner",49092,Foam,Stoneburgh,SC,2024-10-20,34.173193,-87.117048
Melissa Brown,Allen-Lawson,10421,Asphalt,Morganview,MS,2023-07-02,43.42507,-74.853793
Jimmy Taylor,Chapman Group,13315,Foam,Collierville,ID,2024-03-21,32.555956,-86.895557
Brandon Welch,"Reed, Wolf and Hensley",2364,Foam,North Jessicamouth,AZ,2023-07-07,43.042119,-118.714545
Todd Solomon,"Anthony, Jones and Martinez",28525,Asphalt,New Alyssaton,WV,2023-04-30,31.854321,-120.411826
Jonathan Ruiz,"Holmes, Russell and Bradshaw",24837,Asphalt,West Bridget,FM,2023-10-29,34.566493,-82.002309
Sherry Macias,Gray-Sawyer,28259,TPO,West Amberville,RI,2024-08-17,43.572784,-122.900726
Michael Garrett,"Hudson, Chavez and Miller",28689,TPO,South Heidi,GU,2024-07-20,29.244402,-116.992889
Mary Brown,Lloyd-Wilson,37605,Foam,Williamshire,ND,2024-05-21,46.725683,-94.622412
Jesse Carroll,Ward-Kelly,49530,Metal,Bradshawmouth,ME,2023-06-06,41.084528,-85.450097
Robert Hodges,"Adams, Booker and Holt",28821,Asphalt,Lisaborough,GA,2024-08-12,48.652007,-69.299334
Lauren Hill,"Johnson, Wong and Giles",26763,Foam,Marymouth,NY,2023-07-14,35.163819,-88.628585
David Sparks,Herrera-Johnson,16533,Asphalt,Williamborough,ND,2023-10-24,39.25914,-73.381004
Jacob Brewer,Brooks LLC,9857,Asphalt,Port Ryan,WI,2023-04-25,42.228559,-119.583411
Latasha Frank,Downs Group,19478,Asphalt,Port Angela,PR,2023-08-18,39.152034,-76.205243
Trevor Matthews,"Cook, Garrison and Smith",20812,Asphalt,New Jacobport,CA,2024-11-08,40.013326,-70.095981
Kayla Turner,Kirk Group,12145,TPO,Christophertown,LA,2023-07-27,38.238349,-69.669883
Robert Smith,Davis and Sons,38382,TPO,North Willie,AS,2024-03-22,35.176452,-121.669432
Jeffrey Williams,"Morales, Norris and Wright",49733,TPO,Scottmouth,SC,2024-06-30,38.864646,-78.99997
Lindsay Clark,Rojas-Forbes,39877,Foam,Murphystad,AK,2024-12-24,35.036733,-120.350504
Karen Foster,Herring Inc,13368,TPO,Stephenmouth,MN,2024-11-15,32.332638,-110.778642
Thomas Wagner,Lopez-Phillips,6749,TPO,East Douglasville,NY,2024-09-24,40.311446,-71.531179
Mrs. Shannon Hughes,"Fischer, Brown and Black",36990,Asphalt,West Sandraborough,NM,2025-01-30,41.793003,-89.230252
Tanya Maldonado,Lopez LLC,47400,Asphalt,Lake Patriciaton,FM,2024-10-31,44.86108,-106.157085
Tiffany Lopez,Martin-Miller,15153,Foam,Paulmouth,SC,2024-05-27,30.462793,-97.576717
Gina White MD,"Campbell, Scott and Oneill",14338,Asphalt,Port Douglasfort,GU,2024-08-05,43.847582,-67.380941
John Jackson,Humphrey Group,46312,TPO,West Vanessachester,NH,2024-11-27,42.289108,-110.313139
Joseph Page,Bell Group,7417,Foam,Baileyview,NE,2023-12-15,46.658911,-123.707296
Christina Schultz,"Wheeler, King and Roberts",48671,TPO,Mooreview,GU,2024-07-08,34.34498,-85.427852
Douglas Phillips,Duran-Nelson,40302,Foam,South Christophershire,FM,2024-04-04,44.353046,-77.1033
Tina Hatfield,Cruz-Henderson,8819,Asphalt,New Kellyton,PW,2023-11-05,48.971521,-72.773412
Adam Petersen,"Sims, Singh and Rubio",44591,Asphalt,West Julieville,VT,2025-02-06,37.291951,-93.762688
William Hart,Bryant-Martin,41708,Foam,South James,RI,2024-09-17,36.147058,-72.748287
Mary Riggs,Bryant Group,37564,Asphalt,West Sheri,AS,2025-01-30,29.269618,-117.565136
Jeffery Jones,"Carter, Wilkinson and Whitaker",13685,TPO,Port Tracyberg,AR,2024-07-01,36.289078,-120.908795
Troy Arroyo,Brewer Inc,32825,Asphalt,Lake Kathryn,MD,2024-12-18,38.039796,-103.089486
Christopher Dominguez,Burnett-Reeves,39438,Foam,New Susan,NM,2024-02-12,37.884343,-74.840905
Patrick Norman,Green-Martin,18378,TPO,North Christopher,OR,2024-07-19,41.489793,-87.136092
Michelle Miller,Miller PLC,37726,Foam,South Staceystad,VI,2023-11-14,37.091648,-73.638955
April Webb,"Parker, Davis and Holmes",43809,Metal,Thomasborough,SC,2024-11-13,34.092445,-103.763798
Trevor Chavez,Montoya Group,15966,TPO,Lindseyhaven,IN,2024-02-02,30.291923,-81.587917
Joseph Blake,Bell-Cannon,43148,Asphalt,New Mark,MS,2023-08-03,39.668702,-77.258526
Rebecca Powell,Fernandez Ltd,14993,Metal,Taraborough,HI,2024-06-03,46.501009,-82.90204
Rachel Martin,"Chan, Allen and May",14139,Foam,Brownport,MD,2025-01-10,43.843612,-95.724407
